id,geographic area name,occupied housing units,"1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more units,mobile home,"boat, rv, van, etc.",year,1-unit attached,boat rv van etc.
0500000US42023,"Cameron County, Pennsylvania",2196,,133,157,16,23,105,583,,2017,32,0
0500000US42121,"Venango County, Pennsylvania",21925,,1149,670,606,258,667,3148,,2017,305,10
0500000US42011,"Berks County, Pennsylvania",153876,,6572,6464,5479,3614,6835,5019,,2017,39595,45
0500000US42037,"Columbia County, Pennsylvania",26564,,1643,1389,627,324,1007,2532,,2017,1915,16
0500000US42027,"Centre County, Pennsylvania",57710,,2156,2543,2777,3834,7753,3357,,2017,4847,5
0500000US45039,"Fairfield County, South Carolina",8878,,115,91,491,54,39,2787,,2017,85,0
0500000US45049,"Hampton County, South Carolina",7129,,76,133,177,24,71,3418,,2017,29,0
0500000US45045,"Greenville County, South Carolina",185837,,4704,5342,9566,9811,11516,19144,,2017,7611,135
0500000US45057,"Lancaster County, South Carolina",31445,,337,768,795,262,269,4172,,2017,1447,3
0500000US45035,"Dorchester County, South Carolina",54028,,811,2096,2606,2719,1703,7817,,2017,2013,28
0500000US45041,"Florence County, South Carolina",52092,,1882,2101,2979,1596,1280,11631,,2017,981,24
0500000US45059,"Laurens County, South Carolina",25543,,329,604,758,146,452,9610,,2017,171,62
0500000US45065,"McCormick County, South Carolina",4077,,27,146,53,4,30,1540,,2017,68,13
0500000US45077,"Pickens County, South Carolina",46428,,1552,1270,1881,2833,1201,9838,,2017,605,21
0500000US45087,"Union County, South Carolina",11564,,313,325,394,4,135,3178,,2017,126,0
0500000US45089,"Williamsburg County, South Carolina",12310,,224,385,205,91,130,5915,,2017,65,20
0500000US45003,"Aiken County, South Carolina",65703,,1334,1929,2340,1093,1114,15870,,2017,2163,57
0500000US45005,"Allendale County, South Carolina",3285,,113,33,13,56,111,1338,,2017,5,0
0500000US45071,"Newberry County, South Carolina",14893,,268,389,389,167,221,4796,,2017,116,17
0500000US45037,"Edgefield County, South Carolina",9054,,90,527,174,77,42,2637,,2017,118,29
0500000US45023,"Chester County, South Carolina",12384,,331,319,452,81,30,2779,,2017,81,11
0500000US45011,"Barnwell County, South Carolina",8426,,126,128,173,201,372,3814,,2017,64,12
0500000US45015,"Berkeley County, South Carolina",73168,,1173,1460,2953,3043,2234,14730,,2017,3161,121
0500000US45019,"Charleston County, South Carolina",154049,,5583,9846,14987,9895,12504,12057,,2017,11370,14
0500000US45031,"Darlington County, South Carolina",26861,,878,472,476,198,284,9088,,2017,197,36
0500000US45043,"Georgetown County, South Carolina",24840,,537,1417,1953,475,1276,6085,,2017,1675,20
0500000US45069,"Marlboro County, South Carolina",9703,,335,294,426,60,76,3287,,2017,90,26
0500000US45091,"York County, South Carolina",95539,,1287,2315,4020,4297,4293,11527,,2017,6340,57
0500000US45007,"Anderson County, South Carolina",76234,,1739,1623,2994,1780,1957,15038,,2017,1502,53
0500000US45021,"Cherokee County, South Carolina",20480,,529,706,980,198,187,6783,,2017,251,48
0500000US45025,"Chesterfield County, South Carolina",18303,,599,405,566,22,34,7324,,2017,104,56
0500000US45027,"Clarendon County, South Carolina",13573,,175,254,357,81,107,7026,,2017,98,0
0500000US45029,"Colleton County, South Carolina",15134,,302,490,384,311,157,7271,,2017,140,23
0500000US45067,"Marion County, South Carolina",11911,,593,431,213,30,67,4371,,2017,199,5
0500000US45085,"Sumter County, South Carolina",41417,,1153,1144,855,702,1179,11417,,2017,924,51
0500000US45063,"Lexington County, South Carolina",109251,,1892,2380,3798,2709,3327,23489,,2017,2466,131
0500000US45073,"Oconee County, South Carolina",31354,,897,877,745,1154,457,7930,,2017,482,68
0500000US45047,"Greenwood County, South Carolina",27022,,1202,1627,1914,453,649,3702,,2017,939,43
0500000US45053,"Jasper County, South Carolina",9715,,53,185,507,203,353,3566,,2017,116,0
0500000US45051,"Horry County, South Carolina",125168,,2911,5781,13713,15316,31118,28829,,2017,8183,99
0500000US45055,"Kershaw County, South Carolina",24711,,241,155,529,130,138,7192,,2017,177,20
0500000US45061,"Lee County, South Carolina",6501,,82,219,126,37,84,2681,,2017,17,0
0500000US45075,"Orangeburg County, South Carolina",33029,,1210,1291,650,209,384,13874,,2017,666,30
0500000US45083,"Spartanburg County, South Carolina",113191,,4055,2638,4464,3125,4010,18395,,2017,2126,14
0500000US45001,"Abbeville County, South Carolina",9392,,95,299,154,0,91,3329,,2017,142,0
0500000US45009,"Bamberg County, South Carolina",5587,,124,190,47,87,91,2568,,2017,22,0
0500000US45013,"Beaufort County, South Carolina",68790,,858,2919,5324,4676,8616,8294,,2017,6183,6
0500000US45017,"Calhoun County, South Carolina",6150,,70,32,41,10,44,2395,,2017,109,0
0500000US45033,"Dillon County, South Carolina",10945,,332,392,197,64,43,5027,,2017,63,0
0500000US45081,"Saluda County, South Carolina",7052,,46,100,131,9,0,3022,,2017,29,15
0500000US45079,"Richland County, South Carolina",149161,,5488,6872,11306,10284,13129,9334,,2017,3955,143
0500000US46029,"Codington County, South Dakota",12011,,337,639,630,533,632,1047,,2017,526,2
0500000US46005,"Beadle County, South Dakota",7651,,71,380,421,447,247,366,,2017,215,0
