id,geographic area name,total population,year
0500000US18117,"Orange County, Indiana",19820,2010
0500000US18119,"Owen County, Indiana",21737,2010
0500000US18121,"Parke County, Indiana",17394,2010
0500000US18123,"Perry County, Indiana",19316,2010
0500000US18125,"Pike County, Indiana",12955,2010
0500000US18127,"Porter County, Indiana",162026,2010
0500000US18129,"Posey County, Indiana",26100,2010
0500000US18131,"Pulaski County, Indiana",13596,2010
0500000US18133,"Putnam County, Indiana",38048,2010
0500000US18135,"Randolph County, Indiana",26262,2010
0500000US18137,"Ripley County, Indiana",28570,2010
0500000US18139,"Rush County, Indiana",17568,2010
0500000US18141,"St. Joseph County, Indiana",266522,2010
0500000US18143,"Scott County, Indiana",24109,2010
0500000US18145,"Shelby County, Indiana",44237,2010
0500000US18147,"Spencer County, Indiana",20977,2010
0500000US18149,"Starke County, Indiana",23343,2010
0500000US18151,"Steuben County, Indiana",34092,2010
0500000US18153,"Sullivan County, Indiana",21520,2010
0500000US18155,"Switzerland County, Indiana",10393,2010
0500000US18157,"Tippecanoe County, Indiana",168635,2010
0500000US18159,"Tipton County, Indiana",16132,2010
0500000US18161,"Union County, Indiana",7463,2010
0500000US18163,"Vanderburgh County, Indiana",178298,2010
0500000US18165,"Vermillion County, Indiana",16412,2010
0500000US18167,"Vigo County, Indiana",107151,2010
0500000US18169,"Wabash County, Indiana",33225,2010
0500000US18171,"Warren County, Indiana",8563,2010
0500000US18173,"Warrick County, Indiana",58393,2010
0500000US18175,"Washington County, Indiana",28226,2010
0500000US18177,"Wayne County, Indiana",69187,2010
0500000US18179,"Wells County, Indiana",27744,2010
0500000US18181,"White County, Indiana",24734,2010
0500000US18183,"Whitley County, Indiana",32991,2010
0500000US19001,"Adair County, Iowa",7779,2010
0500000US19003,"Adams County, Iowa",4127,2010
0500000US19005,"Allamakee County, Iowa",14331,2010
0500000US19007,"Appanoose County, Iowa",13029,2010
0500000US19009,"Audubon County, Iowa",6186,2010
0500000US19011,"Benton County, Iowa",26098,2010
0500000US19013,"Black Hawk County, Iowa",129252,2010
0500000US19015,"Boone County, Iowa",26424,2010
0500000US19017,"Bremer County, Iowa",24185,2010
0500000US19019,"Buchanan County, Iowa",21026,2010
0500000US19021,"Buena Vista County, Iowa",19980,2010
0500000US19023,"Butler County, Iowa",14892,2010
0500000US19025,"Calhoun County, Iowa",9846,2010
0500000US19027,"Carroll County, Iowa",20805,2010
0500000US19029,"Cass County, Iowa",13969,2010
0500000US19031,"Cedar County, Iowa",18414,2010
0500000US19033,"Cerro Gordo County, Iowa",44324,2010
0500000US19035,"Cherokee County, Iowa",12086,2010
0500000US19037,"Chickasaw County, Iowa",12499,2010
0500000US19039,"Clarke County, Iowa",9218,2010
0500000US19041,"Clay County, Iowa",16718,2010
0500000US19043,"Clayton County, Iowa",18202,2010
0500000US19045,"Clinton County, Iowa",49274,2010
0500000US19047,"Crawford County, Iowa",16951,2010
0500000US19049,"Dallas County, Iowa",61714,2010
0500000US19051,"Davis County, Iowa",8687,2010
0500000US19053,"Decatur County, Iowa",8508,2010
0500000US19055,"Delaware County, Iowa",17857,2010
0500000US19057,"Des Moines County, Iowa",40266,2010
0500000US19059,"Dickinson County, Iowa",16665,2010
0500000US19061,"Dubuque County, Iowa",92547,2010
0500000US19063,"Emmet County, Iowa",10389,2010
0500000US19065,"Fayette County, Iowa",20992,2010
0500000US19067,"Floyd County, Iowa",16394,2010
