id,geographic area name,median income (family),median income (nonfamily),year
0500000US08085,"Montrose County, Colorado",52640,26434,2010
0500000US08087,"Morgan County, Colorado",48673,29759,2010
0500000US08089,"Otero County, Colorado",41269,17856,2010
0500000US08091,"Ouray County, Colorado",65804,35217,2010
0500000US08093,"Park County, Colorado",73815,48578,2010
0500000US08095,"Phillips County, Colorado",54583,21623,2010
0500000US08097,"Pitkin County, Colorado",103438,44475,2010
0500000US08099,"Prowers County, Colorado",47052,18815,2010
0500000US08101,"Pueblo County, Colorado",50503,23512,2010
0500000US08103,"Rio Blanco County, Colorado",68327,31239,2010
0500000US08105,"Rio Grande County, Colorado",48115,18487,2010
0500000US08107,"Routt County, Colorado",74547,45451,2010
0500000US08109,"Saguache County, Colorado",36988,19727,2010
0500000US08111,"San Juan County, Colorado",62917,36250,2010
0500000US08113,"San Miguel County, Colorado",82708,46995,2010
0500000US08115,"Sedgwick County, Colorado",52292,20809,2010
0500000US08117,"Summit County, Colorado",86701,50644,2010
0500000US08119,"Teller County, Colorado",68328,39955,2010
0500000US08121,"Washington County, Colorado",48965,25288,2010
0500000US08123,"Weld County, Colorado",64996,29703,2010
0500000US08125,"Yuma County, Colorado",48602,26028,2010
0500000US09001,"Fairfield County, Connecticut",100593,43547,2010
0500000US09003,"Hartford County, Connecticut",78599,36864,2010
0500000US09005,"Litchfield County, Connecticut",84890,38381,2010
0500000US09007,"Middlesex County, Connecticut",91589,42538,2010
0500000US09009,"New Haven County, Connecticut",77379,34925,2010
0500000US09011,"New London County, Connecticut",80425,40023,2010
0500000US09013,"Tolland County, Connecticut",91631,39779,2010
0500000US09015,"Windham County, Connecticut",69642,32926,2010
0500000US10001,"Kent County, Delaware",60949,31240,2010
0500000US10003,"New Castle County, Delaware",78072,38402,2010
0500000US10005,"Sussex County, Delaware",59053,31835,2010
0500000US11001,"District of Columbia, District of Columbia",70883,51324,2010
0500000US12001,"Alachua County, Florida",61188,23442,2010
0500000US12003,"Baker County, Florida",55597,25332,2010
0500000US12005,"Bay County, Florida",56877,31696,2010
0500000US12007,"Bradford County, Florida",47583,22961,2010
0500000US12009,"Brevard County, Florida",60842,29966,2010
0500000US12011,"Broward County, Florida",62619,34693,2010
0500000US12013,"Calhoun County, Florida",39332,16775,2010
0500000US12015,"Charlotte County, Florida",52533,27925,2010
0500000US12017,"Citrus County, Florida",45568,23159,2010
0500000US12019,"Clay County, Florida",67922,36343,2010
0500000US12021,"Collier County, Florida",68556,38195,2010
0500000US12023,"Columbia County, Florida",47726,22471,2010
0500000US12027,"DeSoto County, Florida",38986,23892,2010
0500000US12029,"Dixie County, Florida",39914,18401,2010
0500000US12031,"Duval County, Florida",60114,32316,2010
0500000US12033,"Escambia County, Florida",53495,28192,2010
0500000US12035,"Flagler County, Florida",54754,29309,2010
0500000US12037,"Franklin County, Florida",46083,20022,2010
0500000US12039,"Gadsden County, Florida",46773,21363,2010
0500000US12041,"Gilchrist County, Florida",43994,24258,2010
0500000US12043,"Glades County, Florida",44046,24359,2010
0500000US12045,"Gulf County, Florida",46979,23708,2010
0500000US12047,"Hamilton County, Florida",46616,16261,2010
0500000US12049,"Hardee County, Florida",43001,23202,2010
0500000US12051,"Hendry County, Florida",38564,24321,2010
0500000US12053,"Hernando County, Florida",50135,24845,2010
0500000US12055,"Highlands County, Florida",41955,21895,2010
0500000US12057,"Hillsborough County, Florida",59886,33830,2010
0500000US12059,"Holmes County, Florida",42731,18827,2010
0500000US12061,"Indian River County, Florida",57477,28596,2010
0500000US12063,"Jackson County, Florida",49600,20080,2010
0500000US12065,"Jefferson County, Florida",47059,28284,2010
0500000US12067,"Lafayette County, Florida",54024,31250,2010
0500000US12069,"Lake County, Florida",55935,27592,2010
0500000US12071,"Lee County, Florida",58950,32655,2010
0500000US12073,"Leon County, Florida",66157,27878,2010
0500000US12075,"Levy County, Florida",43256,18697,2010
0500000US12077,"Liberty County, Florida",48750,20269,2010
0500000US12079,"Madison County, Florida",46791,20582,2010
0500000US12081,"Manatee County, Florida",57547,30103,2010
0500000US12083,"Marion County, Florida",47614,24421,2010
0500000US12085,"Martin County, Florida",70271,32531,2010
0500000US12086,"Miami-Dade County, Florida",50065,26695,2010
0500000US12087,"Monroe County, Florida",66152,39534,2010
0500000US12089,"Nassau County, Florida",66233,34800,2010
0500000US12091,"Okaloosa County, Florida",64224,34108,2010
0500000US12093,"Okeechobee County, Florida",43229,20761,2010
0500000US12095,"Orange County, Florida",57473,34049,2010
0500000US12097,"Osceola County, Florida",50203,30241,2010
0500000US12099,"Palm Beach County, Florida",64445,36104,2010
0500000US12101,"Pasco County, Florida",53457,26923,2010
0500000US12103,"Pinellas County, Florida",58335,30578,2010
0500000US12105,"Polk County, Florida",51395,26411,2010
0500000US12107,"Putnam County, Florida",43184,19202,2010
0500000US12109,"St. Johns County, Florida",79080,35432,2010
0500000US12111,"St. Lucie County, Florida",51943,29590,2010
0500000US12113,"Santa Rosa County, Florida",62929,31276,2010
0500000US12115,"Sarasota County, Florida",62326,31473,2010
0500000US12117,"Seminole County, Florida",70597,37145,2010
0500000US12119,"Sumter County, Florida",51268,25614,2010
0500000US12121,"Suwannee County, Florida",45012,19822,2010
0500000US12123,"Taylor County, Florida",46012,22557,2010
0500000US12125,"Union County, Florida",53469,26849,2010
0500000US12127,"Volusia County, Florida",55569,27122,2010
0500000US12129,"Wakulla County, Florida",63924,30179,2010
0500000US12131,"Walton County, Florida",56282,28128,2010
0500000US12133,"Washington County, Florida",46742,19905,2010
0500000US13001,"Appling County, Georgia",46005,23000,2010
0500000US13003,"Atkinson County, Georgia",34859,16432,2010
0500000US13005,"Bacon County, Georgia",45442,12919,2010
0500000US13007,"Baker County, Georgia",42585,12633,2010
0500000US13009,"Baldwin County, Georgia",47714,20282,2010
0500000US13011,"Banks County, Georgia",48606,18313,2010
0500000US13013,"Barrow County, Georgia",55415,27086,2010
0500000US13015,"Bartow County, Georgia",56281,27486,2010
0500000US13017,"Ben Hill County, Georgia",35868,16183,2010
0500000US13019,"Berrien County, Georgia",40869,16734,2010
0500000US13021,"Bibb County, Georgia",52158,23049,2010
0500000US13023,"Bleckley County, Georgia",48750,16010,2010
0500000US13025,"Brantley County, Georgia",43028,19104,2010
0500000US13027,"Brooks County, Georgia",47599,19865,2010
0500000US13029,"Bryan County, Georgia",72118,34383,2010
0500000US13031,"Bulloch County, Georgia",51904,16926,2010
0500000US13033,"Burke County, Georgia",41659,15849,2010
0500000US13035,"Butts County, Georgia",59511,23750,2010
0500000US13037,"Calhoun County, Georgia",37309,14072,2010
0500000US13039,"Camden County, Georgia",57366,27589,2010
0500000US13043,"Candler County, Georgia",39105,16408,2010
0500000US13045,"Carroll County, Georgia",53703,25693,2010
0500000US13047,"Catoosa County, Georgia",54796,24148,2010
0500000US13049,"Charlton County, Georgia",45913,24625,2010
0500000US13051,"Chatham County, Georgia",54933,28976,2010
0500000US13053,"Chattahoochee County, Georgia",55745,44118,2010
0500000US13055,"Chattooga County, Georgia",39037,18804,2010
0500000US13057,"Cherokee County, Georgia",77190,38394,2010
0500000US13059,"Clarke County, Georgia",51687,21002,2010
0500000US13061,"Clay County, Georgia",31354,12023,2010
0500000US13063,"Clayton County, Georgia",48064,33220,2010
0500000US13065,"Clinch County, Georgia",45350,17906,2010
0500000US13067,"Cobb County, Georgia",78920,42658,2010
0500000US13069,"Coffee County, Georgia",39880,21683,2010
0500000US13071,"Colquitt County, Georgia",39086,18567,2010
0500000US13073,"Columbia County, Georgia",74426,36982,2010
0500000US13075,"Cook County, Georgia",37352,18937,2010
0500000US13077,"Coweta County, Georgia",68469,36451,2010
0500000US13079,"Crawford County, Georgia",48623,24364,2010
0500000US13081,"Crisp County, Georgia",41616,17180,2010
0500000US13083,"Dade County, Georgia",48881,20713,2010
0500000US13085,"Dawson County, Georgia",60236,31228,2010
0500000US13087,"Decatur County, Georgia",44322,19660,2010
0500000US13089,"DeKalb County, Georgia",60718,39007,2010
