id,geographic area name,"9th to 12th grade, no diploma",high school graduate (includes equivalency),"some college, no degree",associate's degree,bachelor's degree,graduate or professional degree,year
0500000US46071,"Jackson County, South Dakota",169,591,503,162,262,101,2015
0500000US46073,"Jerauld County, South Dakota",81,592,301,163,167,65,2015
0500000US46075,"Jones County, South Dakota",33,239,146,82,93,9,2015
0500000US46077,"Kingsbury County, South Dakota",138,1372,735,437,636,162,2015
0500000US46079,"Lake County, South Dakota",367,2591,1626,699,1943,675,2015
0500000US46081,"Lawrence County, South Dakota",522,5681,3930,1374,3438,1538,2015
0500000US46083,"Lincoln County, South Dakota",648,6974,6525,4123,8684,4245,2015
0500000US46085,"Lyman County, South Dakota",213,884,590,204,325,139,2015
0500000US46087,"McCook County, South Dakota",198,1258,708,561,642,263,2015
0500000US46089,"McPherson County, South Dakota",109,521,424,159,225,40,2015
0500000US46091,"Marshall County, South Dakota",194,1027,625,485,515,205,2015
0500000US46093,"Meade County, South Dakota",734,5534,4257,2101,3007,945,2015
0500000US46095,"Mellette County, South Dakota",127,471,270,101,157,29,2015
0500000US46097,"Miner County, South Dakota",59,625,276,189,282,86,2015
0500000US46099,"Minnehaha County, South Dakota",5958,34251,24839,12917,24261,10141,2015
0500000US46101,"Moody County, South Dakota",241,1449,845,497,772,326,2015
0500000US46102,"Oglala Lakota County, South Dakota",1220,2001,1994,725,640,172,2015
0500000US46103,"Pennington County, South Dakota",3529,19956,18429,7294,13169,6819,2015
0500000US46105,"Perkins County, South Dakota",125,841,553,177,300,130,2015
0500000US46107,"Potter County, South Dakota",84,711,348,160,292,66,2015
0500000US46109,"Roberts County, South Dakota",512,2448,1286,829,733,354,2015
0500000US46111,"Sanborn County, South Dakota",77,662,318,280,214,85,2015
0500000US46115,"Spink County, South Dakota",187,1638,1015,431,772,234,2015
0500000US46117,"Stanley County, South Dakota",124,707,363,210,315,233,2015
0500000US46119,"Sully County, South Dakota",57,353,206,115,203,33,2015
0500000US46121,"Todd County, South Dakota",869,1075,1633,319,500,198,2015
0500000US46123,"Tripp County, South Dakota",323,1342,792,364,675,180,2015
0500000US46125,"Turner County, South Dakota",216,2120,1256,770,947,276,2015
0500000US46127,"Union County, South Dakota",569,3010,1995,1041,1769,1390,2015
0500000US46129,"Walworth County, South Dakota",240,1444,764,413,694,155,2015
0500000US46135,"Yankton County, South Dakota",768,5586,3350,1357,3060,1168,2015
0500000US46137,"Ziebach County, South Dakota",143,611,314,172,155,55,2015
0500000US47001,"Anderson County, Tennessee",4766,18047,11378,3175,7104,5680,2015
0500000US47003,"Bedford County, Tennessee",4017,12348,5704,1538,2842,1266,2015
0500000US47005,"Benton County, Tennessee",1680,5482,2228,437,732,551,2015
0500000US47007,"Bledsoe County, Tennessee",1250,4234,1573,575,607,455,2015
0500000US47009,"Blount County, Tennessee",6951,30755,18961,7401,13270,6855,2015
0500000US47011,"Bradley County, Tennessee",6896,22044,15504,5339,8819,4756,2015
0500000US47013,"Campbell County, Tennessee",4463,11970,4583,1204,1906,1025,2015
0500000US47015,"Cannon County, Tennessee",1210,4123,1938,489,984,377,2015
0500000US47017,"Carroll County, Tennessee",2694,8079,3680,784,1706,1059,2015
0500000US47019,"Carter County, Tennessee",4707,15981,7994,2470,4406,2218,2015
0500000US47021,"Cheatham County, Tennessee",3044,9801,5435,2087,3670,1505,2015
0500000US47023,"Chester County, Tennessee",1165,4190,2396,698,975,730,2015
0500000US47025,"Claiborne County, Tennessee",2497,9461,3763,1115,1851,1323,2015
0500000US47027,"Clay County, Tennessee",656,2531,692,225,390,441,2015
0500000US47029,"Cocke County, Tennessee",2928,11789,4334,1362,1613,928,2015
0500000US47031,"Coffee County, Tennessee",3739,14192,7384,2312,4249,2389,2015
0500000US47033,"Crockett County, Tennessee",1471,3991,1766,493,890,393,2015
0500000US47035,"Cumberland County, Tennessee",4408,16545,8599,2943,4904,2973,2015
0500000US47037,"Davidson County, Tennessee",34877,107496,88603,26961,105080,61295,2015
0500000US47039,"Decatur County, Tennessee",954,3758,1593,431,632,441,2015
0500000US47041,"DeKalb County, Tennessee",1567,5686,2148,606,1223,600,2015
0500000US47043,"Dickson County, Tennessee",3624,14928,6896,1757,3163,1775,2015
0500000US47045,"Dyer County, Tennessee",2152,10245,4449,1855,2943,1959,2015
0500000US47047,"Fayette County, Tennessee",2238,9978,6516,1477,4436,1943,2015
0500000US47049,"Fentress County, Tennessee",1603,5581,1964,506,882,499,2015
0500000US47051,"Franklin County, Tennessee",2704,10347,5499,1851,3244,2204,2015
0500000US47053,"Gibson County, Tennessee",3353,12903,8030,1845,3470,1920,2015
0500000US47055,"Giles County, Tennessee",2243,8576,3808,1196,1974,1033,2015
0500000US47057,"Grainger County, Tennessee",1663,7343,2500,1052,1227,578,2015
0500000US47059,"Greene County, Tennessee",5276,20849,8772,2712,4808,2529,2015
0500000US47061,"Grundy County, Tennessee",1191,3980,1230,516,632,392,2015
0500000US47063,"Hamblen County, Tennessee",4064,18290,7775,2327,4347,2385,2015
0500000US47065,"Hamilton County, Tennessee",19931,65549,57959,17375,43658,25313,2015
0500000US47067,"Hancock County, Tennessee",658,1873,901,206,346,158,2015
0500000US47069,"Hardeman County, Tennessee",3168,8229,3396,726,1059,822,2015
0500000US47071,"Hardin County, Tennessee",2360,8114,3245,944,1417,950,2015
0500000US47073,"Hawkins County, Tennessee",4074,17840,7174,2597,3555,1507,2015
0500000US47075,"Haywood County, Tennessee",1749,5185,2408,563,886,697,2015
0500000US47077,"Henderson County, Tennessee",2679,7601,3917,1277,1600,846,2015
0500000US47079,"Henry County, Tennessee",2479,10447,4309,942,1979,1612,2015
0500000US47081,"Hickman County, Tennessee",2489,7305,2831,953,1110,673,2015
0500000US47083,"Houston County, Tennessee",812,2656,1039,263,482,122,2015
0500000US47085,"Humphreys County, Tennessee",1443,5473,2734,765,1140,572,2015
0500000US47087,"Jackson County, Tennessee",1161,3982,1169,389,427,253,2015
0500000US47089,"Jefferson County, Tennessee",3870,14384,7494,2456,3496,2185,2015
0500000US47091,"Johnson County, Tennessee",2195,5498,2481,837,826,416,2015
0500000US47093,"Knox County, Tennessee",18747,78111,60905,25027,61846,39930,2015
0500000US47095,"Lake County, Tennessee",1047,2545,869,174,338,168,2015
0500000US47097,"Lauderdale County, Tennessee",2874,8193,3196,840,1072,597,2015
0500000US47099,"Lawrence County, Tennessee",3041,11974,5247,1722,2216,1315,2015
0500000US47101,"Lewis County, Tennessee",819,3627,1770,494,709,309,2015
0500000US47103,"Lincoln County, Tennessee",2756,9770,4218,1356,2625,1261,2015
0500000US47105,"Loudon County, Tennessee",2800,12575,7010,2659,5779,3622,2015
0500000US47107,"McMinn County, Tennessee",3702,15606,6348,2755,3565,1909,2015
0500000US47109,"McNairy County, Tennessee",2293,8076,3449,907,1419,657,2015
0500000US47111,"Macon County, Tennessee",2209,6724,2267,864,824,633,2015
0500000US47113,"Madison County, Tennessee",5441,21159,14394,4522,10906,5419,2015
0500000US47115,"Marion County, Tennessee",2551,7484,4321,1185,1848,837,2015
0500000US47117,"Marshall County, Tennessee",2260,8928,4163,1494,2204,654,2015
0500000US47119,"Maury County, Tennessee",4191,20981,13386,4797,7546,3451,2015
0500000US47121,"Meigs County, Tennessee",1060,3591,1694,463,387,302,2015
0500000US47123,"Monroe County, Tennessee",3363,13246,5787,2009,2532,1292,2015
0500000US47125,"Montgomery County, Tennessee",6191,34736,30955,10256,18714,9120,2015
0500000US47127,"Moore County, Tennessee",354,1857,998,359,562,249,2015
0500000US47129,"Morgan County, Tennessee",1850,7993,2632,842,629,375,2015
0500000US47131,"Obion County, Tennessee",2080,8915,4415,775,2229,1395,2015
0500000US47133,"Overton County, Tennessee",1559,6726,2621,738,1269,787,2015
0500000US47135,"Perry County, Tennessee",802,2288,1011,262,442,168,2015
0500000US47137,"Pickett County, Tennessee",368,1478,809,254,184,255,2015
0500000US47139,"Polk County, Tennessee",1287,5166,2157,863,732,439,2015
