"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US29019","Boone County, Missouri","180463","*****"
"0500000US29021","Buchanan County, Missouri","87364","*****"
"0500000US29031","Cape Girardeau County, Missouri","78871","*****"
"0500000US29037","Cass County, Missouri","105780","*****"
"0500000US29043","Christian County, Missouri","88595","*****"
"0500000US29047","Clay County, Missouri","249948","*****"
"0500000US29051","Cole County, Missouri","76745","*****"
"0500000US29071","Franklin County, Missouri","103967","*****"
"0500000US29077","Greene County, Missouri","293086","*****"
"0500000US29095","Jackson County, Missouri","703011","*****"
"0500000US29097","Jasper County, Missouri","121328","*****"
"0500000US29099","Jefferson County, Missouri","225081","*****"
"0500000US29165","Platte County, Missouri","104418","*****"
"0500000US29183","St. Charles County, Missouri","402022","*****"
"0500000US29187","St. Francois County, Missouri","67215","*****"
"0500000US29189","St. Louis County, Missouri","994205","*****"
"0500000US29510","St. Louis city, Missouri","300576","*****"
"0500000US30013","Cascade County, Montana","81366","*****"
"0500000US30029","Flathead County, Montana","103806","*****"
"0500000US30031","Gallatin County, Montana","114434","*****"
"0500000US30049","Lewis and Clark County, Montana","69432","*****"
"0500000US30063","Missoula County, Montana","119600","*****"
"0500000US30111","Yellowstone County, Montana","161300","*****"
"0500000US31055","Douglas County, Nebraska","571327","*****"
"0500000US31109","Lancaster County, Nebraska","319090","*****"
"0500000US31153","Sarpy County, Nebraska","187196","*****"
"0500000US32003","Clark County, Nevada","2266715","*****"
"0500000US32031","Washoe County, Nevada","471519","*****"
"0500000US33005","Cheshire County, New Hampshire","76085","*****"
"0500000US33009","Grafton County, New Hampshire","89886","*****"
"0500000US33011","Hillsborough County, New Hampshire","417025","*****"
"0500000US33013","Merrimack County, New Hampshire","151391","*****"
"0500000US33015","Rockingham County, New Hampshire","309769","*****"
"0500000US33017","Strafford County, New Hampshire","130633","*****"
"0500000US34001","Atlantic County, New Jersey","263670","*****"
"0500000US34003","Bergen County, New Jersey","932202","*****"
"0500000US34005","Burlington County, New Jersey","445349","*****"
"0500000US34007","Camden County, New Jersey","506471","*****"
"0500000US34009","Cape May County, New Jersey","92039","*****"
"0500000US34011","Cumberland County, New Jersey","149527","*****"
"0500000US34013","Essex County, New Jersey","798975","*****"
"0500000US34015","Gloucester County, New Jersey","291636","*****"
"0500000US34017","Hudson County, New Jersey","672391","*****"
"0500000US34019","Hunterdon County, New Jersey","124371","*****"
"0500000US34021","Mercer County, New Jersey","367430","*****"
"0500000US34023","Middlesex County, New Jersey","825062","*****"
"0500000US34025","Monmouth County, New Jersey","618795","*****"
"0500000US34027","Morris County, New Jersey","491845","*****"
"0500000US34029","Ocean County, New Jersey","607186","*****"
"0500000US34031","Passaic County, New Jersey","501826","*****"
"0500000US34033","Salem County, New Jersey","62385","*****"
"0500000US34035","Somerset County, New Jersey","328934","*****"
"0500000US34037","Sussex County, New Jersey","140488","*****"
"0500000US34039","Union County, New Jersey","556341","*****"
"0500000US34041","Warren County, New Jersey","105267","*****"
"0500000US35001","Bernalillo County, New Mexico","679121","*****"
"0500000US35005","Chaves County, New Mexico","64615","*****"
"0500000US35013","Doña Ana County, New Mexico","218195","*****"
"0500000US35025","Lea County, New Mexico","71070","*****"
"0500000US35031","McKinley County, New Mexico","71367","*****"
"0500000US35035","Otero County, New Mexico","67490","*****"
"0500000US35043","Sandoval County, New Mexico","146748","*****"
"0500000US35045","San Juan County, New Mexico","123958","*****"
"0500000US35049","Santa Fe County, New Mexico","150358","*****"
"0500000US35061","Valencia County, New Mexico","76688","*****"
"0500000US36001","Albany County, New York","305506","*****"
"0500000US36005","Bronx County, New York","1418207","*****"
"0500000US36007","Broome County, New York","190488","*****"
